Stateandterritory,Industry,Category,PersonsMedianweeklyearnings,MalesMedianweeklyearnings,FemalesMedianweeklyearnings
New South Wales,"Rental, hiring and real estate services",Skill level 3,1287.949,1305.091,1276.01
New South Wales,"Rental, hiring and real estate services",Skill level 4,988.365,0,1028.461
New South Wales,"Rental, hiring and real estate services",Skill level 5,582.504,0,0
New South Wales,"Professional, scientific and technical services",Full-time,2000,2224.797,1818.598
New South Wales,"Professional, scientific and technical services",Part-time,797.01,709.314,855.044
New South Wales,"Professional, scientific and technical services",Skill level 1,2011,2194.3,1900.574
New South Wales,"Professional, scientific and technical services",Skill level 2,1407.729,1720.16,1335.032
New South Wales,"Professional, scientific and technical services",Skill level 3,1096.803,1338.593,1053.284
New South Wales,"Professional, scientific and technical services",Skill level 4,1243.742,0,1119.732
New South Wales,"Professional, scientific and technical services",Skill level 5,941.053,1033.125,0
New South Wales,Administrative and support services,Full-time,1423.989,1746.552,1270.925
New South Wales,Administrative and support services,Part-time,634.631,780.156,619.625
New South Wales,Administrative and support services,Skill level 1,1628.141,1846.9,1503.742
New South Wales,Administrative and support services,Skill level 2,1430.565,1836.977,1356.607
New South Wales,Administrative and support services,Skill level 3,1108.638,1715.333,856.797
New South Wales,Administrative and support services,Skill level 4,1190.027,1744.026,1150.613
New South Wales,Administrative and support services,Skill level 5,985.666,1256.396,646.747
New South Wales,Public administration and safety,Full-time,1768.428,1748.002,1842
New South Wales,Public administration and safety,Part-time,1000,854.496,1037.784
New South Wales,Public administration and safety,Skill level 1,2239.142,2297.543,2147
New South Wales,Public administration and safety,Skill level 2,1764.282,1806.394,1606.537
New South Wales,Public administration and safety,Skill level 3,1518.049,1523.461,0
New South Wales,Public administration and safety,Skill level 4,1383.021,1479.992,1220.11
New South Wales,Public administration and safety,Skill level 5,1244.868,1222.912,1246.877
New South Wales,Education and training,Full-time,1775.012,1912.59,1749.714
New South Wales,Education and training,Part-time,750,706.219,754.028
New South Wales,Education and training,Skill level 1,1636.239,1763.26,1592.04
New South Wales,Education and training,Skill level 2,1524.368,0,1442.968
New South Wales,Education and training,Skill level 3,750,0,752.489
New South Wales,Education and training,Skill level 4,750,628.872,764.597
New South Wales,Education and training,Skill level 5,0,0,0
New South Wales,Health care and social assistance,Full-time,1600,1726,1558.005
New South Wales,Health care and social assistance,Part-time,750,806.425,750
New South Wales,Health care and social assistance,Skill level 1,1670.652,2000,1570.215
New South Wales,Health care and social assistance,Skill level 2,1396.805,1669.311,1313.872
New South Wales,Health care and social assistance,Skill level 3,784.924,1071.02,759.461
New South Wales,Health care and social assistance,Skill level 4,951.484,1126.921,948.282
New South Wales,Health care and social assistance,Skill level 5,782.682,1113.366,555.074
New South Wales,Arts and recreation services,Full-time,1355.31,1379.796,1300
New South Wales,Arts and recreation services,Part-time,444.83,268.942,475.086
New South Wales,Arts and recreation services,Skill level 1,1902.814,2302.91,1865.217
New South Wales,Arts and recreation services,Skill level 2,1145.361,0,961.862
New South Wales,Arts and recreation services,Skill level 3,842.642,855.108,0
New South Wales,Arts and recreation services,Skill level 4,549.404,636.555,494.087
New South Wales,Arts and recreation services,Skill level 5,1060.125,1059.316,0
Victoria,"Agriculture, forestry and fishing",Full-time,1136.103,1183.476,1017.363
Victoria,"Agriculture, forestry and fishing",Part-time,536.814,0,0
Victoria,"Agriculture, forestry and fishing",Skill level 1,1329.02,1113.863,1608.382
Victoria,"Agriculture, forestry and fishing",Skill level 2,0,0,0
Victoria,"Agriculture, forestry and fishing",Skill level 3,0,0,0
Victoria,"Agriculture, forestry and fishing",Skill level 4,1000,0,0
Victoria,"Agriculture, forestry and fishing",Skill level 5,911.689,970.318,0
Victoria,Mining,Full-time,2471.189,2542.159,0
Victoria,Mining,Part-time,0,0,0
Victoria,Mining,Skill level 1,3525.764,0,0
Victoria,Mining,Skill level 2,0,0,0
Victoria,Mining,Skill level 3,0,0,0
